Order Date,Order ID,Payment Instrument Type,Website,Purchase Order Number,Ordering Customer Email,Shipment Date,Shipping Address Name,Shipping Address Street 1,Shipping Address Street 2,Shipping Address City,Shipping Address State,Shipping Address Zip,Order Status,Carrier Name & Tracking Number,Subtotal,Shipping Charge,Tax Before Promotions,Total Promotions,Tax Charged,Total Charged,Buyer Name,Group Name
04/01/19,112-0000000-0000001,Visa - 0001,Amazon.com,,your_email@gmail.com,04/01/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$35.00,$0.00,$1.93,$0.00,$1.93,$36.93,Your Name,
04/01/19,112-0000000-0000002,Visa - 0001,Amazon.com,,your_email@gmail.com,04/01/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$16.99,$0.00,$0.00,$0.00,$0.00,$16.99,Your Name,
04/01/19,112-0000000-0000003,Visa - 0001,Amazon.com,,your_email@gmail.com,04/01/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$9.99,$0.00,$0.00,$0.00,$0.00,$9.99,Your Name,
04/04/19,112-0000000-0000004,Visa - 0001,Amazon.com,,your_email@gmail.com,04/05/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,UPS(0002),$147.98,$0.00,$8.14,$0.00,$8.14,$156.12,Your Name,
04/05/19,112-0000000-0000005,Visa - 0001,Amazon.com,,your_email@gmail.com,04/07/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$14.99,$0.00,$0.00,$0.00,$0.00,$14.99,Your Name,
04/05/19,112-0000000-0000006,Visa - 0001,Amazon.com,,your_email@gmail.com,04/08/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$11.99,$0.00,$0.66,$0.00,$0.66,$12.65,Your Name,
04/07/19,112-0000000-0000007,Visa - 0001,Amazon.com,,your_email@gmail.com,04/08/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$38.98,$0.00,$1.65,$0.00,$1.65,$40.63,Your Name,
04/08/19,112-0000000-0000008,Visa - 0001,Amazon.com,,your_email@gmail.com,04/08/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,UPS(0002),$44.99,$0.00,$0.00,$0.00,$0.00,$44.99,Your Name,
04/20/19,112-0000000-0000009,Visa - 0001,Amazon.com,,your_email@gmail.com,04/21/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$27.30,$0.00,$1.50,$0.00,$1.50,$28.80,Your Name,
04/23/19,112-0000000-0000010,Visa - 0001,Amazon.com,,your_email@gmail.com,04/24/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,UPS(0002),$37.08,$0.00,$0.00,$0.00,$0.00,$37.08,Your Name,
05/05/19,112-0000000-0000011,Visa - 0001,Amazon.com,,your_email@gmail.com,05/07/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,China Post(0003),$12.99,$0.00,$0.00,$0.00,$0.00,$12.99,Your Name,
05/06/19,112-0000000-0000012,Visa - 0001,Amazon.com,,your_email@gmail.com,05/07/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$7.20,$0.00,$0.40,$0.00,$0.40,$7.60,Your Name,
05/10/19,112-0000000-0000013,Visa - 0001,Amazon.com,,your_email@gmail.com,05/12/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$27.99,$0.00,$0.00,$0.00,$0.00,$27.99,Your Name,
05/14/19,112-0000000-0000014,Visa - 0001,Amazon.com,,your_email@gmail.com,05/15/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$15.32,$0.00,$0.84,$0.00,$0.84,$16.16,Your Name,
05/18/19,112-0000000-0000015,Visa - 0001,Amazon.com,,your_email@gmail.com,05/19/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$9.95,$0.00,$0.55,$0.00,$0.55,$10.50,Your Name,
05/19/19,112-0000000-0000016,Visa - 0001,Amazon.com,,your_email@gmail.com,05/20/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$38.89,$0.00,$0.00,$0.00,$0.00,$38.89,Your Name,
05/21/19,112-0000000-0000017,Visa - 0001,Amazon.com,,your_email@gmail.com,05/22/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$8.95,$0.00,$0.49,$0.00,$0.49,$9.44,Your Name,
05/21/19,112-0000000-0000018,Visa - 0001,Amazon.com,,your_email@gmail.com,05/22/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$12.99,$0.00,$0.00,$0.00,$0.00,$12.99,Your Name,
05/21/19,112-0000000-0000019,Visa - 5555,Amazon.com,,your_email@gmail.com,05/22/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),$7.99,$0.00,$0.00,$0.00,$0.00,$7.99,Your Name,
